"","pA","cA","kDOC","kA","lA","hA","mA","decay","v","rec"
"0.025",0.57914208328679,0.0141939090184728,0.087138346407769,0.000532686152500334,0.176284081411782,4.79074945270065,0.93678897987294,0.000240786974989545,0.000118152563986506,0.988561576218122
"0.05",0.678620023726203,0.0161873635604865,0.0908889269975436,0.00058769652975776,0.198155404807535,7.38915393421063,1.19149209119307,0.000290996732914591,0.000134339021109456,0.990416358579089
"0.25",1.253794692243,0.0234275380195046,0.104113666295955,0.000777113178842107,0.280001479039933,40.9119052591573,1.96877320547127,0.000460414705950764,0.000308231171734995,0.994461704735101
"0.5",1.91893047852508,0.0299119779056705,0.115056012485032,0.000935181972656244,0.339788315297038,97.0063293659412,2.6617738415054,0.000594303984281217,0.000761500819029477,0.996117807924821
"0.75",2.964324810495,0.0377664402404324,0.125937329446968,0.00112035840406628,0.415212640512047,168.49964440261,3.7214627575037,0.000722025942976121,0.00188177598416118,0.997279309213207
"0.95",5.32030352302087,0.051697077710408,0.145860178580623,0.00150407845929397,0.558376411229403,289.022150796632,7.13791228576182,0.000915656563695238,0.00537343386503547,0.998437624848089
"0.975",7.05248170514443,0.0566538896855377,0.153890881620126,0.00166452538229211,0.602867624113279,313.236566750269,10.1928622592022,0.000979863481286516,0.00696825277119787,0.998733555960927
