COMID_hr,lagoslakeid,nhdplusv2_comid,Permanent_Identifier,FDate,Resolution,GNIS_ID,GNIS_Name,AreaSqKM,Elevation,REACHCODE,FTYPE,FCODE,VisibilityFilter,Shape_Length,Shape_Area,VPUID,fdate,resolution,gnis_id,gnis_name,areasqkm,elevation,reachcode,ftype,fcode,shape_length,shape_area,onoffnet,purpcode,purpdesc,meandepth,lakevolume,maxdepth,meandused,meandcode,lakearea,areasqm,in_maxdepth_training,maxdepth_m_prediction_heathcote,maxdepth_m_prediction_hollister,maxdepth_m_prediction_khazaei,maxdepth_m_prediction_oliver,maxdepth_m_prediction_sobek,maxdepth_m_prediction_rf,in_meandepth_training,meandepth_m_prediction_messager,meandepth_m_prediction_khazaei,meandepth_m_prediction_rf,lake_meandepth_m,lake_maxdepth_m,area,best_maxdepth,best_meandepth,cone_volume,HYBAS_ID,MAIN_BAS,pre_mm_uyr,aet_mm_uyr,pet_mm_uyr,crp_pc_use,wet_pc_ug2,Shape,HUC04,apr_recharge_Ly,Flow_in_m3s
60003700038585,122,1776146,107075038,2003-10-09T00:00:00Z,2,NA,NA,0.004,NA,04010201007510,390,39004,100000,0.0027570700398675077,4.4777335191210146e-7,0401,1999-07-05T04:00:00Z,Medium,653169,Thomson Reservoir,1.348,0,04010201003334,LakePond,39004,0.115229864408444,1.58503499103079e-4,1, , ,1.916534764,2584141.613,7.923388958,1.916534764,4,1348340.50695,4000,TRUE,9.43969124979902,7.728810314621248,7.731245941241998,4.117261632800405,9.821714346891904,8.231470846662885,FALSE,3.7534970612278378,2.7131678125714265,3.0976849799999906,NA,7.923388958,1383417.5488149112,7.923388958,3.0976849799999906,3653785.110194498,7100997640,7100034520,720,603,799,3,49,"c(-92.4009608223293, 46.665867522974)",0401,117,1.4840182648401827e-5
60003700037496,122,1776146,107075016,2003-10-09T00:00:00Z,2,00653169,Thomson Reservoir,1.383,NA,04010201003334,390,39004,5000000,0.1681066149733674,1.6262733883492183e-4,0401,1999-07-05T04:00:00Z,Medium,653169,Thomson Reservoir,1.348,0,04010201003334,LakePond,39004,0.115229864408444,1.58503499103079e-4,1, , ,1.916534764,2584141.613,7.923388958,1.916534764,4,1348340.50695,1383000,TRUE,9.43969124979902,7.728810314621248,7.731245941241998,4.117261632800405,9.821714346891904,8.231470846662885,FALSE,3.7534970612278378,2.7131678125714265,3.0976849799999906,NA,7.923388958,1383417.5488149112,7.923388958,3.0976849799999906,3653785.110194498,7100997640,7100034520,720,603,799,3,49,"c(-92.4050722723276, 46.6697481186498)",0401,117,0.005130993150684932
60003700030970,23963,1768636,107072212,2003-10-09T00:00:00Z,2,NA,NA,0.011,NA,04010201006639,390,39004,100000,0.005295777376265111,1.312669958147837e-6,0401,1999-07-05T04:00:00Z,Medium,662208,Pleasant Lake,1.386,0,04010201003030,LakePond,39004,0.0948187624914625,1.65140755510366e-4,1, , ,1.570632039,2177015.51,10.0576582,1.570632039,4,1386076.09338,11000,TRUE,6.715855538968722,8.900578548504045,10.754294242444024,8.008450496851783,11.8810047361703,11.938428655173189,FALSE,3.8497705450248474,5.894008674380947,5.283405999999981,NA,10.0576582,1358353.902624693,10.0576582,5.283405999999981,4553953.089078415,7100348740,7100034520,720,604,788,1,42,"c(-92.475651635569, 47.4006989232659)",0401,116,4.046169457128361e-5
60003700037465,23963,1768636,120020445,2004-03-16T13:37:00Z,2,00662208,Pleasant Lake,1.358,NA,04010201003030,390,39004,2000000,0.10535567691009241,1.618379039063946e-4,0401,1999-07-05T04:00:00Z,Medium,662208,Pleasant Lake,1.386,0,04010201003030,LakePond,39004,0.0948187624914625,1.65140755510366e-4,1, , ,1.570632039,2177015.51,10.0576582,1.570632039,4,1386076.09338,1358000,TRUE,6.715855538968722,8.900578548504045,10.754294242444024,8.008450496851783,11.8810047361703,11.938428655173189,FALSE,3.8497705450248474,5.894008674380947,5.283405999999981,NA,10.0576582,1358353.902624693,10.0576582,5.283405999999981,4553953.089078415,7100348740,7100034520,720,604,788,1,42,"c(-92.4897356971684, 47.3948470995167)",0401,116,0.004995180111618468
60003700034629,27054,4796846,114544511,2003-12-29T00:00:00Z,2,00656308,Fourmile Lake,2.37,NA,04010101003242,390,39004,2000000,0.14906401068095343,2.839633762916512e-4,0401,1999-08-19T04:00:00Z,Medium,656308,Fourmile Lake,2.403,0,04010101003242,LakePond,39004,0.141654855260239,2.87917634027872e-4,1, , ,1.9995792,4805280.532,4.797476292,1.9995792,4,2403145.9418,2370000,TRUE,3.6775313991492897,7.075050156584094,6.98242277762197,8.618444607337779,11.824699461575635,5.732554179964662,FALSE,3.6842524435760926,5.120473971999993,2.111564779999997,NA,4.797476292,2370146.8091267347,4.797476292,2.111564779999997,3790241.0417816527,7100343810,7100034520,744,604,753,0,28,"c(-90.9690291676521, 47.6905564370607)",0401,140,0.01052130898021309
60003700036449,3526,4796084,{F579FBF5-C97A-4D38-8397-C17C7EA6AC0B},2012-10-09T00:00:00Z,2,00658169,Sawbill Lake,3.3752504,NA,04010101009413,390,39004,2000000,0.4568413628446592,4.059421568788819e-4,0401,1999-08-19T04:00:00Z,Medium,658169,Sawbill Lake,3.641,0,04010101002963,LakePond,39004,0.267208960923413,4.37891152433572e-4,1, , ,3.056728775,11129109.55,12.2,3.056728775,4,3640856.04191,3375250.4,TRUE,7.209370805532781,8.914145548613295,14.341816394245948,12.09608418854285,18.070882552096748,13.102534323184424,FALSE,3.905328088385685,4.987188806095233,4.161099979999985,NA,12.2,3375250.426451952,12.2,4.161099979999985,13726018.400904603,7100984620,7100034520,737,598,746,0,30,"c(-90.8761813612716, 47.8929712268494)",0401,139,0.014876959842719431
60003700039183,3266,4796546,120020638,2016-11-08T00:00:00Z,2,00655868,Crescent Lake,3.01390248,NA,04010101003109,390,39004,2000000,0.2548784975921255,3.620146079989999e-4,0401,1999-08-19T04:00:00Z,Medium,655868,Crescent Lake,3.137,0,04010101003109,LakePond,39004,0.190038762036918,3.76763711102119e-4,1, , ,4.391480277,13774754.72,8.528778076,4.391480277,4,3136699.59777,3013902.48,TRUE,7.064302741900904,9.958052208603764,11.545967710146,10.452479536071014,14.256441426940146,11.15611091345673,FALSE,3.921347516216606,5.3141638937904725,4.290741839999987,NA,8.528778076,3020146.8117141337,8.528778076,4.290741839999987,8586053.9713496,7100985920,7100034520,734,601,748,0,31,"c(-90.7603290610569, 47.8251504440408)",0401,133,0.012710839353120243
60003700032581,171,4796786,114543923,2003-12-29T00:00:00Z,2,00655970,Deer Yard Lake,1.368,NA,04010101003214,390,39004,2000000,0.09204444207503752,1.6407258938407708e-4,0401,1999-08-19T04:00:00Z,Medium,655970,Deer Yard Lake,1.402,0,04010101003214,LakePond,39004,0.0917659073497167,1.68057000758485e-4,1, , ,9.995901072,14011085.09,6.095702648,9.995901072,4,1401682.99655,1368000,TRUE,6.975664786533516,13.913384859660525,10.347475647602009,9.28555906992916,14.174344635792709,7.355381753969852,FALSE,3.996804047986539,6.518511477904758,5.198944199999987,NA,6.095702648,1368457.3254554549,6.095702648,5.198944199999987,2780569.6474846047,7100986750,7100034520,732,601,750,0,29,"c(-90.6062344275555, 47.7291476650799)",0401,131,0.005682648401826484
60003700037756,115170,4793682,114540545,2003-12-29T00:00:00Z,2,00657829,Pillsbery Lake,0.267,NA,04010101002636,390,39004,500000,0.062231912925495646,3.2169362360172877e-5,0401,1999-08-19T04:00:00Z,Medium,657829,Pillsbery Lake,0.306,0,04010101002636,LakePond,39004,0.060871192669774,3.68472879312638e-5,1, , ,2.367434648,723603.3842,5.829504368408614,2.367434648,4,305648.762213,267000,FALSE,5.756375998330246,6.8238306839044025,7.25955961545798,7.565133175331178,9.041922860647812,5.829504368408614,FALSE,3.741408280400473,2.6915372819047607,3.466974579999993,NA,NA,266846.11173769843,5.829504368408614,3.466974579999993,518526.8580225887,7100333590,7100034520,730,591,732,0,50,"c(-90.5721708968277, 48.0162236630654)",0401,139,0.001176845509893455
60003700033103,573,4793182,114540053,2003-12-29T00:00:00Z,2,00657900,Poplar Lake,3.005,NA,04010101002547,390,39004,2000000,0.41276866999056683,3.625369284168446e-4,0401,2001-08-08T04:00:00Z,Medium,657900,Poplar Lake,3.241,0,04010101002547,LakePond,39004,0.35700331948568,3.91001840969087e-4,1, , ,2.304087701,7468637.699,22.24910927,2.304087701,4,3241472.83956,3005000,TRUE,6.388594157309549,7.640610660459611,17.590702261692062,10.779430564264796,13.955165803435431,15.668477881271178,FALSE,3.8195196057648575,4.583590402819042,4.0058463599999845,NA,22.24910927,3005499.336238115,22.24910927,4.0058463599999845,22289894.3809581,7100333590,7100034520,730,591,732,0,50,"c(-90.5086735263458, 48.0467337231367)",0401,139,0.01324502156265855
