COMID_hr,lagoslakeid,nhdplusv2_comid,Permanent_Identifier,FDate,Resolution,GNIS_ID,GNIS_Name,AreaSqKM,Elevation,REACHCODE,FTYPE,FCODE,VisibilityFilter,Shape_Length,Shape_Area,VPUID,fdate,resolution,gnis_id,gnis_name,areasqkm,elevation,reachcode,ftype,fcode,shape_length,shape_area,onoffnet,purpcode,purpdesc,meandepth,lakevolume,maxdepth,meandused,meandcode,lakearea,areasqm,in_maxdepth_training,maxdepth_m_prediction_heathcote,maxdepth_m_prediction_hollister,maxdepth_m_prediction_khazaei,maxdepth_m_prediction_oliver,maxdepth_m_prediction_sobek,maxdepth_m_prediction_rf,in_meandepth_training,meandepth_m_prediction_messager,meandepth_m_prediction_khazaei,meandepth_m_prediction_rf,lake_meandepth_m,lake_maxdepth_m,area,best_maxdepth,best_meandepth,cone_volume,HYBAS_ID,MAIN_BAS,pre_mm_uyr,aet_mm_uyr,pet_mm_uyr,crp_pc_use,wet_pc_ug2,Shape,HUC04,apr_recharge_Ly,Flow_in_m3s
60003200055247,4513,6792027,123148133,2004-07-29T23:08:35Z,2,01580079,Oxbow Lake,2.118,NA,04020101001192,390,39004,2000000,0.235959188851859,2.4702134718645053e-4,0402,1999-09-13T04:00:00Z,Medium,1580079,Oxbow Lake,2.019,0,04020101001192,LakePond,39004,0.214495259098385,2.35519583855272e-4,1, , ,2.422908373,4892149.087,13.4112,2.422908373,4,2019122.67078,2118000,TRUE,6.554191987842339,9.521447157745646,13.34751451430394,10.388167426862276,15.172508517523797,13.368398587795626,TRUE,3.9276637068253257,4.704531499276183,4.527500475999973,4.572,13.4112,2117732.1395338243,13.4112,4.572,9467109.756572006,7100375290,7100034520,851,652,810,0,35,"c(-89.6828972857207, 46.2408635565954)",0402,199,0.013365106544901065
60003200048430,124670,11949855,123397174,2004-08-13T02:51:15Z,2,00624110,Crooked Lake,2.519,NA,04020102001621,390,39004,2000000,0.2709895483092162,2.938281409255468e-4,0402,1999-09-13T04:00:00Z,Medium,624110,Crooked Lake,2.479,0,04020102001621,LakePond,39004,0.242334480996175,2.89081000594426e-4,1, , ,4.03656759,10005669.05,5,4.03656759,4,2478756.76804,2519000,TRUE,9.299509357559616,11.492407559120585,11.476187650103997,13.126031873778215,20.519811476526076,10.129621163719357,FALSE,4.051199212706088,5.1340747666285695,5.970535527999976,NA,5,2519454.685078278,5,5.970535527999976,4199091.14179713,7101002090,7100034520,840,651,831,0,37,"c(-89.2847636523427, 46.2310570444433)",0402,189,0.015096746575342466
60003200059429,55253,12024862,{0E74B1EC-B50F-4FDC-9D1A-97A6E02DFDC1},2018-06-11T00:00:00Z,2,01615410,Third Lake,0.15504255,NA,04020105003869,390,39004,500000,0.02711462100034951,1.8290364700383306e-5,0402,2009-01-15T05:00:00Z,Medium,634970,Pine Lake,2.008,0,04020105001018,LakePond,39004,0.125710744238372,2.368813045708e-4,1, , ,4.818040457,9672242.564,17.010277468634957,4.818040457,4,2007505.60342,155042.55,FALSE,8.987396481423923,16.8628635144651,16.087071178872012,11.551153260673916,22.694263221029953,17.010277468634957,FALSE,4.031055624945266,5.5211311007619,6.292187659999987,NA,NA,1971244.6642055598,17.010277468634957,6.292187659999987,11177139.565567572,7100359200,7100034520,803,603,802,0,28,"c(-87.8503534597401, 46.8621120754185)",0402,200,9.832734018264838e-4
60003200059430,55253,12024862,{B7776A61-8D79-4578-B608-F7B98CD57549},2018-06-11T00:00:00Z,2,00632269,Second Lake,0.70101044,NA,04020105003870,390,39004,1000000,0.0625996699244179,8.271019511825634e-5,0402,2009-01-15T05:00:00Z,Medium,634970,Pine Lake,2.008,0,04020105001018,LakePond,39004,0.125710744238372,2.368813045708e-4,1, , ,4.818040457,9672242.564,17.010277468634957,4.818040457,4,2007505.60342,701010.4400000001,FALSE,8.987396481423923,16.8628635144651,16.087071178872012,11.551153260673916,22.694263221029953,17.010277468634957,FALSE,4.031055624945266,5.5211311007619,6.292187659999987,NA,NA,1971244.6642055598,17.010277468634957,6.292187659999987,11177139.565567572,7100359200,7100034520,803,603,802,0,28,"c(-87.8632295176512, 46.8700092413555)",0402,200,0.004445779046169457
60003200058173,55253,12024862,120019339,2018-06-11T00:00:00Z,2,00634970,Pine Lake,1.11519163,NA,04020105002477,390,39004,2000000,0.052363574005652315,1.3160227486046285e-4,0402,2009-01-15T05:00:00Z,Medium,634970,Pine Lake,2.008,0,04020105001018,LakePond,39004,0.125710744238372,2.368813045708e-4,1, , ,4.818040457,9672242.564,17.010277468634957,4.818040457,4,2007505.60342,1115191.63,FALSE,8.987396481423923,16.8628635144651,16.087071178872012,11.551153260673916,22.694263221029953,17.010277468634957,FALSE,4.031055624945266,5.5211311007619,6.292187659999987,NA,NA,1971244.6642055598,17.010277468634957,6.292187659999987,11177139.565567572,7100359200,7100034520,803,603,802,0,28,"c(-87.8764616850542, 46.8799275278423)",0402,200,0.007072498921867071
60003200048767,103858,12025220,105233827,2010-03-12T08:00:30Z,2,00624490,Deer Lake,3.718,NA,04020105001278,390,39004,2000000,0.3240478142213241,4.359195687686047e-4,0402,1999-09-13T04:00:00Z,Medium,624490,Deer Lake,3.821,0,04020105001278,LakePond,39004,0.274819058599964,4.47993068552846e-4,1, , ,9.334159555,35665562.96,15.241363922874076,9.334159555,4,3820971.95469,3718000,FALSE,10.826860734807696,19.46818463590784,23.150509133475992,10.3252218318393,23.695184369937927,15.241363922874076,FALSE,4.236056305992935,10.681524284190486,5.607699699999987,NA,NA,3718006.5321610477,15.241363922874076,5.607699699999987,18889163.541429847,7100368840,7100034520,829,614,795,1,35,"c(-87.6829437708457, 46.5251755246994)",0402,215,0.025347856418061896
60003200048538,64577,12025266,105233829,2003-09-23T00:00:00Z,2,01614644,Teal Lake,1.961,NA,04020105001289,390,39004,2000000,0.09828658584714722,2.299130000927821e-4,0402,1999-09-13T04:00:00Z,Medium,1614644,Teal Lake,1.977,0,04020105001289,LakePond,39004,0.0964172553955686,2.31722950758127e-4,1, , ,8.410011738,16625036.74,14.860884139154736,8.410011738,4,1976814.86637,1961000,FALSE,7.750884409817517,16.64222250984585,16.72554562278801,11.321022223381236,23.249202868405312,14.860884139154736,FALSE,4.073672275234223,10.896657646095225,4.754944919999988,NA,NA,1961384.6623887953,14.860884139154736,4.754944919999988,9715970.073358338,7101000810,7100034520,832,618,796,1,38,"c(-87.6283454261009, 46.5130752447132)",0402,214,0.013307141045154744
60003200054817,1106,11936779,116542403,2014-06-16T00:00:00Z,2,00629901,Lac La Belle,4.88359567,NA,04020103001172,390,39004,2000000,0.2508428419561141,5.816271385268542e-4,0402,1999-10-21T04:00:00Z,Medium,629901,"Belle, Lac La",3.454,0,04020103001172,LakePond,39004,0.10396525531285,4.11363546744574e-4,1, , ,0,0,10.66747943,11,6,3454009.30139,4883595.67,TRUE,5.9388617396878365,11.26292888578876,11.448301811535975,8.185115810914768,17.477736803726373,13.031202236763088,FALSE,3.861414433544608,4.271049391219044,6.116466179999982,NA,10.66747943,4883595.695140582,10.66747943,6.116466179999982,17365218.874116234,7100348260,7100034520,803,575,756,0,17,"c(-88.0081873034321, 47.3748894107388)",0402,228,0.03530757904490106
60003200055524,17526,6791581,123147768,2004-07-29T22:50:28Z,2,01620849,Mink Lake,0.288,NA,04020101001123,390,39004,500000,0.03028016846442414,3.36047747645642e-5,0402,1999-09-13T04:00:00Z,Medium,1620849,Mink Lake,0.284,0,04020101001123,LakePond,39004,0.0229547828238679,3.31418265681738e-5,1, , ,3.428803662,972940.7887,8.581388336730045,3.428803662,4,283755.179208,288000,FALSE,5.340808127096398,7.848204597395345,8.981900774625974,9.135639611850468,10.97630067910378,8.581388336730045,FALSE,3.764678062243853,3.618763822666664,3.041245299999992,NA,NA,287717.7578428666,8.581388336730045,3.041245299999992,823005.9371409649,7100375180,7100034520,862,652,806,0,37,"c(-89.7820461192783, 46.3138319197605)",0402,210,0.0019178082191780822
60003200051653,4909,6792319,123148177,2004-07-29T23:10:37Z,2,01578658,Annabelle Lake,0.79,NA,04020101001236,390,39004,1000000,0.06957594004475665,9.214349209163464e-5,0402,1999-09-13T04:00:00Z,Medium,1578658,Annabelle Lake,0.792,0,04020101001236,LakePond,39004,0.0611509862646653,9.23952167128784e-5,1, , ,1.673115156,1325885.615,9.144,1.673115156,4,792465.24827,790000,TRUE,7.052924636292344,7.927652120940994,9.531823426343967,8.099642640976063,10.653920456574347,11.208834257158738,TRUE,3.819598012058142,3.634546192571427,3.933101439999984,3.6576,9.144,790307.735196329,9.144,3.6576,2408857.9768784107,7100375290,7100034520,851,652,810,0,35,"c(-89.6831639642462, 46.2158958624123)",0402,199,0.004985096397767631
60003200046712,2198,6792345,123148174,2004-07-29T23:10:28Z,2,01579729,Lone Pine Lake,0.555,NA,04020101001232,390,39004,2000000,0.05134803511928446,6.473523641906494e-5,0402,1999-09-13T04:00:00Z,Medium,1579729,Lone Pine Lake,0.548,0,04020101001232,LakePond,39004,0.051602406331275,6.39358288859666e-5,1, , ,1.331736157,730313.1907,12.4968,1.331736157,4,548391.848642,555000,TRUE,6.213951621530963,8.710807713406316,9.955678239851956,7.567884640791101,10.6436964479022,13.01170341816758,FALSE,3.818501452520644,3.5542269579999983,4.165383999999983,NA,12.4968,555249.4966256025,12.4968,4.165383999999983,2312947.30314361,7100374540,7100034520,853,652,817,0,38,"c(-89.6173701341841, 46.2138628824369)",0402,201,0.0035373858447488586
60003200058841,74848,6791977,123148014,2004-07-29T23:02:47Z,2,01625080,Dawn Lake,0.066,NA,04020101001181,390,39004,250000,0.010429978480010513,7.669681262865715e-6,0402,2009-01-08T05:00:00Z,Medium,1625080,Dawn Lake,0.072,0,04020101001181,LakePond,39004,0.0110790578315948,8.4018506629202e-6,1, , ,0.711503155,51235.92672,18.28710759,0.711503155,4,72010.8213682,66000,TRUE,4.941840567314967,6.740154393037842,10.888576757143984,6.984736424564244,4.1431394267584665,12.423104506080293,FALSE,3.6675623404615103,3.089329005942856,3.8946844919999952,NA,18.28710759,65735.26763955325,18.28710759,3.8946844919999952,400702.6372606519,7100374540,7100034520,853,652,817,0,38,"c(-89.6065302749094, 46.2556317626299)",0402,201,4.2066210045662103e-4
60003200044778,71686,6792051,123148042,2004-07-29T23:04:07Z,2,01621665,Snowshoe Lake,0.064,NA,04020101001188,390,39004,2000000,0.025877523775296646,7.449375868039157e-6,0402,1999-09-13T04:00:00Z,Medium,1621665,Snowshoe Lake,0.044,0,04020101001188,LakePond,39004,0.0086374891773515,5.18552997696727e-6,1, , ,0.398657791,17720.16414,7.095090988044079,0.398657791,4,44449.5556064,64000,FALSE,3.514350194613308,6.658341084810253,4.129285285687999,8.08984069052132,11.95608204209849,7.095090988044079,FALSE,3.677575493803148,2.1437573621904766,3.652931827999992,NA,NA,63853.44118507603,7.095090988044079,3.652931827999992,151015.3250359452,7100374540,7100034520,853,652,817,0,38,"c(-89.5845129769579, 46.2501024223526)",0402,201,4.0791476407914766e-4
60003200041881,106955,11949471,123396012,2004-08-13T02:31:21Z,2,01619089,Barb Lake,0.269,NA,04020102001553,390,39004,500000,0.024588562454502506,3.1371803415977716e-5,0402,1999-09-13T04:00:00Z,Medium,1619089,Barb Lake,0.255,0,04020102001553,LakePond,39004,0.0220895460920122,2.98427022762812e-5,1, , ,3.462973803,884608.1991,9.104105963541318,3.462973803,4,255447.596502,269000,FALSE,5.039694029771234,7.357279028638297,7.044830626385989,6.145411217909569,7.1284085209127,9.104105963541318,FALSE,3.7033317081728274,3.717528880380947,3.4825018799999854,NA,NA,268534.954624745,9.104105963541318,3.4825018799999854,814923.5606061461,7101000440,7100034520,865,652,824,0,37,"c(-89.5892140138907, 46.3271476634116)",0402,213,0.0018168759512937596
60003200055308,44906,11949767,123397285,2004-08-13T02:53:07Z,2,NA,NA,0.012,NA,04020102001628,390,39004,100000,0.004456711216296475,1.412780862268971e-6,0402,1999-09-13T04:00:00Z,Medium, , ,0.008,0,04020102001628,LakePond,39004,0.00373603170580516,9.87472401349055e-7,1, , ,0.51137875,4327.949225,6.06351301019792,0.51137875,4,8463.29794874,12000,FALSE,4.946613158934949,6.1048074419807445,4.8130569599999955,4.907423317442248,-2.0292026036035793,6.06351301019792,FALSE,3.597915354400505,2.8402104929523784,2.473258079999998,NA,NA,12108.39698621508,6.06351301019792,2.473258079999998,24473.140886185476,7101001480,7100034520,843,652,826,0,34,"c(-89.5174601107001, 46.256834372348)",0402,191,7.267884322678843e-5
60003200058610,137019,11949543,123396195,2004-08-13T02:34:27Z,2,01621815,Sucker Lake,1.874,NA,04020102001543,390,39004,2000000,0.11162672253622047,2.18897966860456e-4,0402,1999-09-13T04:00:00Z,Medium,1621815,Sucker Lake,1.762,0,04020102001543,LakePond,39004,0.0962311309241,2.05790279307126e-4,1, , ,4.95743527,8735936.165,9.01751377694316,4.95743527,4,1762188.67747,1874000,FALSE,8.596809843836713,10.400252685428722,16.248208384671997,10.34801189064192,17.97710784897331,9.01751377694316,FALSE,3.944150491011937,6.560231863999997,4.5009004399999855,NA,NA,1874415.9407733951,9.01751377694316,4.5009004399999855,5634190.523215321,7100371770,7100034520,834,650,843,0,26,"c(-89.2502928481354, 46.3063532079289)",0402,184,0.01093404363267377
60003200051184,71693,11949787,123396907,2004-08-13T02:46:40Z,2,01621291,Porcupine Lake,0.132,NA,04020102001592,390,39004,500000,0.022856241000008423,1.5344306296812455e-5,0402,1999-09-13T04:00:00Z,Medium,1621291,Porcupine Lake,0.125,0,04020102001592,LakePond,39004,0.0174925878315857,1.4625049072195e-5,1, , ,2.11225417,264757.1202,9.012654338606309,2.11225417,4,125343.390556,132000,FALSE,8.561933032940832,7.299627706703249,5.929231867367989,9.08938328479032,11.03986362300042,9.012654338606309,FALSE,3.74454697699198,2.807542148285711,3.994246659999992,NA,NA,131507.01567490253,9.012654338606309,3.994246659999992,395075.75845985935,7101002090,7100034520,840,651,831,0,37,"c(-89.2397756133647, 46.2581238468274)",0402,189,7.91095890410959e-4
60003200056670,104897,11949963,123397237,2004-08-13T02:52:20Z,2,01619144,Beaver Dam Lake,0.068,NA,04020102001618,390,39004,250000,0.017476053334471317,7.989408537415397e-6,0402,1999-09-13T04:00:00Z,Medium,1619144,Beaver Dam Lake,0.063,0,04020102001618,LakePond,39004,0.0162765700609839,7.39453784593175e-6,1, , ,2.723021671,172624.1762,10.521674659021103,2.723021671,4,63394.348479,68000,FALSE,8.242522724772277,8.050541211933595,5.76348889059999,9.541846412620464,11.905428012522464,10.521674659021103,FALSE,3.800850608776609,2.314276715809525,3.700107239999985,NA,NA,68494.13395493152,10.521674659021103,3.700107239999985,240224.33117506662,7101002090,7100034520,840,651,831,0,37,"c(-89.173240358057, 46.2405821863929)",0402,189,4.075342465753425e-4
60003200049532,104897,11949963,123397256,2004-08-13T02:52:40Z,2,NA,NA,0.001,NA,04020102012317,390,39004,250000,0.0018865041057742004,1.695444639186212e-7,0402,1999-09-13T04:00:00Z,Medium,1619144,Beaver Dam Lake,0.063,0,04020102001618,LakePond,39004,0.0162765700609839,7.39453784593175e-6,1, , ,2.723021671,172624.1762,10.521674659021103,2.723021671,4,63394.348479,1000,FALSE,8.242522724772277,8.050541211933595,5.76348889059999,9.541846412620464,11.905428012522464,10.521674659021103,FALSE,3.800850608776609,2.314276715809525,3.700107239999985,NA,NA,68494.13395493152,10.521674659021103,3.700107239999985,240224.33117506662,7101002090,7100034520,840,651,831,0,37,"c(-89.1779541127868, 46.2414563948445)",0402,189,5.993150684931507e-6
60003200047309,31231,11949351,123394288,2014-06-16T00:00:00Z,2,01622553,Paulding Pond,0.04081166,NA,04020102001444,390,39004,250000,0.012063013370970028,4.772865071836043e-6,0402,1999-09-13T04:00:00Z,Medium, , ,0.013,0,04020102001444,LakePond,39004,0.00502389175155962,1.4654984220952499e-06,1, , ,0.482223494,6042.808271,2.438281012,0.482223494,4,12531.1358711,40811.659999999996,TRUE,6.946065638395712,6.6533437091568395,3.431587911018008,4.923484141341472,3.3432268498162614,4.490743260559765,FALSE,3.701067127112574,2.1632783773333304,3.1672314399999975,NA,2.438281012,40811.6607782431,2.438281012,3.1672314399999975,33170.09918125843,7100371770,7100034520,834,650,843,0,26,"c(-89.1734745880488, 46.3852951511986)",0402,184,2.3811978183663112e-4
60003200048141,106968,11949441,123395007,2004-08-13T02:17:29Z,2,NA,NA,0.012,NA,04020102011705,390,39004,500000,0.005485735359265714,1.3864503934604367e-6,0402,1999-09-13T04:00:00Z,Medium, , ,0.059,0,04020102001509,LakePond,39004,0.0157525180518431,6.85606241661236e-6,1, , ,0.361257772,21193.20595,4.581652084477705,0.361257772,4,58665.0605659,12000,FALSE,3.8652951411596863,6.068684238067745,2.7985154789520017,4.580081568194937,-0.2367030641064076,4.581652084477705,FALSE,3.611357059372913,1.254683011142857,3.807140499999991,NA,NA,16982.686120618728,4.581652084477705,3.807140499999991,25936.253088187794,7100369830,7100034520,833,652,842,1,35,"c(-89.0965289885868, 46.3455457666248)",0402,181,6.887366818873668e-5
60003200055858,106968,11949441,123394937,2004-08-13T02:16:12Z,2,NA,NA,0.017,NA,04020102011684,390,39004,500000,0.008625426307686744,1.9847625205034523e-6,0402,1999-09-13T04:00:00Z,Medium, , ,0.059,0,04020102001509,LakePond,39004,0.0157525180518431,6.85606241661236e-6,1, , ,0.361257772,21193.20595,4.581652084477705,0.361257772,4,58665.0605659,17000,FALSE,3.8652951411596863,6.068684238067745,2.7985154789520017,4.580081568194937,-0.2367030641064076,4.581652084477705,FALSE,3.611357059372913,1.254683011142857,3.807140499999991,NA,NA,16982.686120618728,4.581652084477705,3.807140499999991,25936.253088187794,7100369830,7100034520,833,652,842,1,35,"c(-89.0977972909426, 46.3479931927126)",0402,181,9.757102993404364e-5
60003200047030,99772,166766589,123392185,2004-08-13T01:32:41Z,2,01619375,Burns Lake,0.081,NA,04020102001793,390,39004,500000,0.019167462057239824,9.45701238172273e-6,0402,2009-01-15T05:00:00Z,Medium,1619375,Burns Lake,0.054,0,04020102012948,LakePond,39004,0.00967967300284639,6.36640795347575e-6,1, , ,2.025953791,110058.7975,8.826633779296884,2.025953791,4,54324.4344917,81000,FALSE,6.847705833349092,8.018992060763402,4.9683660940979895,6.632768090578901,5.829050600388451,8.826633779296884,FALSE,3.788821091030029,2.223308693142858,4.126267039999989,NA,NA,80696.95550471301,8.826633779296884,4.126267039999989,237427.4911147725,7100370320,7100034520,808,650,863,1,55,"c(-88.7706770558114, 46.4999007033004)",0402,158,4.058219178082192e-4
