COMID_hr,lagoslakeid,nhdplusv2_comid,Permanent_Identifier,FDate,Resolution,GNIS_ID,GNIS_Name,AreaSqKM,Elevation,REACHCODE,FTYPE,FCODE,VisibilityFilter,Shape_Length,Shape_Area,VPUID,fdate,resolution,gnis_id,gnis_name,areasqkm,elevation,reachcode,ftype,fcode,shape_length,shape_area,onoffnet,purpcode,purpdesc,meandepth,lakevolume,maxdepth,meandused,meandcode,lakearea,areasqm,in_maxdepth_training,maxdepth_m_prediction_heathcote,maxdepth_m_prediction_hollister,maxdepth_m_prediction_khazaei,maxdepth_m_prediction_oliver,maxdepth_m_prediction_sobek,maxdepth_m_prediction_rf,in_meandepth_training,meandepth_m_prediction_messager,meandepth_m_prediction_khazaei,meandepth_m_prediction_rf,lake_meandepth_m,lake_maxdepth_m,area,best_maxdepth,best_meandepth,cone_volume,HYBAS_ID,MAIN_BAS,pre_mm_uyr,aet_mm_uyr,pet_mm_uyr,crp_pc_use,wet_pc_ug2,Shape,HUC04,apr_recharge_Ly,Flow_in_m3s
35000900085560,447016,17889262,125214986,2007-12-27T08:07:24Z,2,00192436,Upper Sand Creek Lake,0.10200000000000001,NA,13010003000765,390,39004,0,0.017872073930229965,1.0503550469645538e-5,1301,1999-06-23T04:00:00Z,Medium,192436,Upper Sand Creek Lake,0.097,0,13010003000765,LakePond,39004,0.0152701968261515,9.99093217133193e-6,1, , ,5.393821061,525796.5603,15.843591205164286,5.393821061,4,97481.2784998,102000.00000000001,FALSE,9.71030567749163,11.474272009646947,19.918023999999953,8.549807004739327,21.526225140007096,15.843591205164286,FALSE,3.999105213986749,9.16844592761904,5.6265679999999785,NA,NA,102483.04147094395,15.843591205164286,5.6265679999999785,541233.1381758448,7100597190,7100049270,391,325,978,3,33,"c(-105.540363864948, 37.9395512477619)",1301,66,2.1347031963470323e-4
35000900085613,447023,18385105,136353715,2005-06-22T09:05:07Z,2,NA,NA,0.019,NA,13010001000761,390,39004,0,0.006255032589621416,1.9341368117831887e-6,1301,2000-06-12T04:00:00Z,Medium, , ,0.027,0,13010001000761,LakePond,39004,0.00684179336260903,2.70761136940392e-6,1, , ,4.929836043,130679.2144,9.669509805646324,4.929836043,4,26507.8262472,19000,FALSE,10.339051486978056,10.325442567849334,7.268051999999972,6.4596673680918935,12.393246313162784,9.669509805646324,FALSE,3.966927414011241,6.74535909066666,4.394736459999987,NA,NA,18935.45103667174,9.669509805646324,4.394736459999987,61032.17649114441,7100595620,7100049270,910,566,704,0,0,"c(-107.496709082647, 37.6849223326052)",1301,344,2.0725520040588535e-4
35000900085617,447024,17905753,136353793,2005-06-22T09:11:32Z,2,00187868,Ute Lake,0.14200000000000002,NA,13010001000728,390,39004,0,0.01808776770504665,1.4499008206107333e-5,1301,2000-06-12T04:00:00Z,Medium,187868,Ute Lake,0.14,0,13010001000728,LakePond,39004,0.0172457275576682,1.42795685244283e-5,1, , ,9.718316092,1359394.839,25.33349243172893,9.718316092,4,139879.670983,142000.00000000003,FALSE,10.223296961756033,17.300276128515968,25.36366816057994,7.616120720813147,16.016650486392056,25.33349243172893,FALSE,4.174039274851524,10.827947743619037,10.23595844799999,NA,NA,142029.6035594448,25.33349243172893,10.23595844799999,1199368.6289515519,7101097830,7100008710,874,574,747,1,20,"c(-107.438166961869, 37.6411014680053)",1301,300,0.0013508371385083716
35000900085626,447026,17905657,136353472,2005-06-22T08:46:45Z,2,NA,NA,0.04,NA,13010001000679,390,39004,0,0.014967772636986695,4.119786224937785e-6,1301,1999-07-23T04:00:00Z,Medium, , ,0.039,0,13010001000679,LakePond,39004,0.0105460461222941,3.98170592099001e-6,1, , ,0.684674351,26636.18977,6.840714871514785,0.684674351,4,38903.4415553,40000,FALSE,4.035158784733788,6.045875061548828,5.269870205999978,4.057522955110649,0.8779640768792696,6.840714871514785,FALSE,3.5904297185829157,2.602511042857144,3.9962655599999857,NA,NA,40252.505821882805,6.840714871514785,3.9962655599999857,91785.30506382971,7101094300,7100049270,830,559,729,0,10,"c(-107.26058573245, 37.8356903352616)",1301,271,3.437341451040081e-4
35000900085652,447030,17905673,136353532,2005-06-22T08:51:00Z,2,00187009,Lakeman Lakes,0.039,NA,13010001000689,390,39004,0,0.010286956185823258,4.018291927504349e-6,1301,1999-07-23T04:00:00Z,Medium,187009,Lakeman Lakes,0.031,0,13010001000689,LakePond,39004,0.00716574830957433,3.1728307791298e-6,1, , ,0.546172938,16935.09739,6.920443958064674,0.546172938,4,31006.8408439,39000,FALSE,5.868964632170286,7.98451183708392,6.797674623501978,4.5520480545042314,3.600614369417791,6.920443958064674,FALSE,3.806959884801117,3.457025608761896,3.3395602239999924,NA,NA,39269.370280004376,6.920443958064674,3.3395602239999924,90587.1587637536,7100595210,7100049270,788,551,756,0,14,"c(-107.106710948867, 37.8194036326965)",1301,237,2.930936073059361e-4
35000900085757,447038,17897321,136496698,2005-06-28T11:36:22Z,2,NA,NA,0.023,NA,13010002001182,390,39004,0,0.006133945847252519,2.3015303862110046e-6,1301,2000-06-12T04:00:00Z,Medium, , ,0.023,0,13010002001182,LakePond,39004,0.00596334745225293,2.3873393236738e-6,1, , ,2.753218474,64620.70008,8.74863368428983,2.753218474,4,23470.9643479,23000,FALSE,10.253924628510596,9.801074419027556,8.905340159999964,5.597285450599179,7.461731475879226,8.74863368428983,FALSE,3.959015877478272,4.241625328761901,3.9725899639999898,NA,NA,22627.33754185074,8.74863368428983,3.9725899639999898,65986.09580147707,7100605400,7100049270,751,526,816,1,19,"c(-106.600709800052, 37.3654908685049)",1301,225,1.6409817351598175e-4
35000900085865,447041,17875087,133157183,2005-03-20T04:25:17Z,2,NA,NA,0.018000000000000002,NA,13010005000480,390,39004,0,0.005156304131278196,1.8203254454713762e-6,1301,2000-06-12T04:00:00Z,Medium, , ,0.015,0,13010005000480,LakePond,39004,0.00482889666401896,1.55716049957473e-6,1, , ,2.18458814,33458.18045,8.013667413431076,2.18458814,4,15315.5617691,18000.000000000004,FALSE,10.029222860889918,9.069088423026583,6.128874879999989,5.221026003190512,5.8682182731952715,8.013667413431076,FALSE,3.893225988709499,4.894062608380943,3.702712199999991,NA,NA,17903.926868165483,8.013667413431076,3.702712199999991,47825.37177195694,7100606560,7100049270,871,586,770,1,15,"c(-106.505612574886, 37.3334006574878)",1301,285,1.6267123287671235e-4
35000900085905,447045,17875175,133157940,2005-03-20T04:53:22Z,2,00190808,Spectacle Lake,0.011000000000000001,NA,13010005000511,390,39004,0,0.0044914092626176325,1.1135359676467104e-6,1301,2000-06-12T04:00:00Z,Medium,190808,Spectacle Lake,0.01,0,13010005000511,LakePond,39004,0.00419853674388997,1.04729337235725e-6,1, , ,1.140270749,11770.77365,7.1660376609607335,1.140270749,4,10322.790737,11000.000000000002,FALSE,7.037643006461019,7.712487362029609,6.283493119999977,5.541060188948062,7.1731292927875,7.1660376609607335,FALSE,3.828358520814304,3.595310864380949,4.788955131999989,NA,NA,10975.725042479497,7.1660376609607335,4.788955131999989,26217.486336919304,7100609460,7100049270,848,577,783,1,8,"c(-106.439701045586, 37.1693118382667)",1301,271,9.452688990360225e-5
35000900085914,447046,17897267,136495869,2007-11-16T04:47:14Z,2,00190653,San Francisco Lakes,0.011000000000000001,NA,13010002001126,390,39004,0,0.004706165286911711,1.0700460411250258e-6,1301,2000-06-12T04:00:00Z,Medium, , ,0.013,0,13010002001126,LakePond,39004,0.00453203262514544,1.30634019148154e-6,1, , ,3.419365612,43843.97005,7.264194070942405,3.419365612,4,12822.2506112,11000.000000000002,FALSE,10.122164228142852,9.246561980126994,5.834013279999971,5.425350828723943,6.825282568867383,7.264194070942405,FALSE,3.947089071145859,5.787648147047613,3.179630539999993,NA,NA,10502.95347653204,7.264194070942405,3.179630539999993,25431.830790535987,7101096310,7100049270,718,510,814,1,2,"c(-106.420990805316, 37.4895957237795)",1301,208,7.255200405885338e-5
35000900086161,447059,17883136,137168652,2005-07-20T21:16:15Z,2,NA,NA,0.03,NA,13010004000537,390,39004,0,0.013803098494286653,3.0866653370960683e-6,1301,1999-06-23T04:00:00Z,Medium, , ,0.036,0,13010004000537,LakePond,39004,0.0109066325248774,3.65149030185892e-6,1, , ,0.010077136,359.1384856,8.472571647756435,0.02,2,35638.9533344,30000,FALSE,1.65302244139673,5.863189221604902,4.091501881999995,0.5809025793459887,-4.071460702267462,8.472571647756435,FALSE,3.5099790955383408,3.222685833904755,12.86291455999996,NA,NA,30126.249222464296,8.472571647756435,12.86291455999996,85082.26833849844,7100591160,7100049270,384,310,975,17,0,"c(-105.99514596179, 37.9155069320918)",1301,74,7.039573820395739e-5
