"","time","A","P","DOC","I0","SA","zmix","zmax","Pin","DOCin","V_lake","V_epi","V_ratio","Qin","kDOC","kA","lA","pA","hA","mA","decay","cA","v","rec","Permanent_Identifier"
"11",10000,5.48870243192076,2.05883032187021,1.11401918000179,88.6515479850769,136000,7,7,3.35883,4.33797678727569,634666.666666667,634666.666666667,1,195.243835616438,0.115056012485032,0.000935181972656244,0.339788315297038,1.91893047852508,97.0063293659412,2.6617738415054,0.000594303984281217,0.0299119779056705,0.000761500819029477,0.996117807924821,"53541369"
"12",10000,32.0455728585776,2.71247598908116,2.18853426509149,81.7365081596375,50000,3.89461180394854,3.89461180394854,7.07637,5.2392936418867,129820.393464951,129820.393464951,1,83.013698630137,0.115056012485032,0.000935181972656244,0.339788315297038,1.91893047852508,97.0063293659412,2.6617738415054,0.000594303984281217,0.0299119779056705,0.000761500819029477,0.996117807924821,"53540469"
"13",10000,6.27647721177495,4.7891388026329,2.61710934207749,59.4366771030426,24000,3.85286739619911,3.85286739619911,5.80458,9.36168754172412,61645.8783391858,61645.8783391858,1,21.3041095890411,0.115056012485032,0.000935181972656244,0.339788315297038,1.91893047852508,97.0063293659412,2.6617738415054,0.000594303984281217,0.0299119779056705,0.000761500819029477,0.996117807924821,"61777687"
"14",10000,2.02256463324288e-90,10.1666685965996,2.22415777248464,44.7236250019074,48000,4.33741330946941,4.33741330946941,9.783,8.67442791530938,138797.225903021,138797.225903021,1,42.6082191780822,0.115056012485032,0.000935181972656244,0.339788315297038,1.91893047852508,97.0063293659412,2.6617738415054,0.000594303984281217,0.0299119779056705,0.000761500819029477,0.996117807924821,"61755789"
"15",10000,-4.94065645841247e-324,0.58589580398762,1.37011164586469,86.3038496017456,54000,6.7097027193461,6.7097027193461,0.26088,5.04548865212415,241549.29789646,241549.29789646,1,80.186301369863,0.115056012485032,0.000935181972656244,0.339788315297038,1.91893047852508,97.0063293659412,2.6617738415054,0.000594303984281217,0.0299119779056705,0.000761500819029477,0.996117807924821,"53540689"
"16",10000,7.25338388846956e-36,1.46127696183537,1.04992275337435,106.009263744354,488000,7,7,1.33701,4.15329078198963,2277333.33333333,2277333.33333333,1,685.87397260274,0.115056012485032,0.000935181972656244,0.339788315297038,1.91893047852508,97.0063293659412,2.6617738415054,0.000594303984281217,0.0299119779056705,0.000761500819029477,0.996117807924821,"53541203"
"17",10000,1.96293177352386e-06,1.36256006263269,0.507256771559183,106.009263744354,115000,8.58993649679248,11.3431182013269,1.13596807444634,3.68722170567794,869639.062101729,658561.798087423,0.757281758360558,122.399554341044,0.115056012485032,0.000935181972656244,0.339788315297038,1.91893047852508,97.0063293659412,2.6617738415054,0.000594303984281217,0.0299119779056705,0.000761500819029477,0.996117807924821,"53541117"
"18",10000,1.76911621406073e-62,1.69030427038229,2.11108336791584,100.264198589325,28000,3.92105544048472,3.92105544048472,1.66311,5.42349399790425,73193.0348890481,73193.0348890481,1,41.5780821917808,0.115056012485032,0.000935181972656244,0.339788315297038,1.91893047852508,97.0063293659412,2.6617738415054,0.000594303984281217,0.0299119779056705,0.000761500819029477,0.996117807924821,"47723365"
"19",10000,32.9268169257342,2.52589370638664,2.91492445408047,76.1427541732788,78000,2,2,5.51109,4.9846708876352,104000,104000,1,130.569863013699,0.115056012485032,0.000935181972656244,0.339788315297038,1.91893047852508,97.0063293659412,2.6617738415054,0.000594303984281217,0.0299119779056705,0.000761500819029477,0.996117807924821,"53539915"
"20",10000,21.3391717675171,2.06894619558184,2.12062238640103,99.7486649894714,32000,3.88616109350611,3.88616109350611,5.38065,5.60469547933872,82904.7699947971,82904.7699947971,1,44.9753424657534,0.115056012485032,0.000935181972656244,0.339788315297038,1.91893047852508,97.0063293659412,2.6617738415054,0.000594303984281217,0.0299119779056705,0.000761500819029477,0.996117807924821,"53541677"
"21",10000,2.19786888488347e-64,1.5155330228553,1.29616514012527,98.4454834938049,240000,6.34651416015788,6.34651416015788,1.36962,4.54958796039663,1015442.26562526,1015442.26562526,1,360.328767123288,0.115056012485032,0.000935181972656244,0.339788315297038,1.91893047852508,97.0063293659412,2.6617738415054,0.000594303984281217,0.0299119779056705,0.000761500819029477,0.996117807924821,"47724539"
"22",3557.78779792903,NA,NA,NA,83.1429898834229,446000,10.1270733294392,12.2,1.65121930636506,3.41557782405082,3627466.66666667,3011116.46995325,0.830087977822884,619.736861601651,0.115056012485032,0.000935181972656244,0.339788315297038,1.91893047852508,97.0063293659412,2.6617738415054,0.000594303984281217,0.0299119779056705,0.000761500819029477,0.996117807924821,"53539935"
